lat,lng,name,source,osm_type,osm_id
49.695499,21.766995,,osm,way,170206984
49.689766,21.768619,,osm,way,170210967
51.793223,19.398348,,osm,way,170212100
53.439853,14.565247,,osm,way,170265754
52.275966,16.856784,,osm,way,170303410
51.113914,22.385355,,osm,way,170420080
51.235304,22.506294,,osm,way,170420081
51.453684,22.615758,,osm,way,170420083
51.288755,22.202945,,osm,way,170420093
50.329418,19.230519,,osm,way,170463290
50.329848,19.22857,,osm,way,170474189
52.642094,19.078559,"Hala Mistrzów",osm,way,170489087
51.888041,18.951983,,osm,way,170511121
50.253359,18.994635,,osm,way,170697278
51.578334,21.558092,,osm,way,170755957
52.405797,16.869656,,osm,way,170765069
52.405554,16.869705,,osm,way,170765092
50.305119,16.638212,,osm,way,170776082
51.756061,18.100832,,osm,way,170976734
51.755912,18.101179,,osm,way,170976748
52.64417,19.033894,,osm,way,170977697
51.758181,19.490768,,osm,way,171019425
51.122763,16.998154,,osm,way,171206423
54.490527,18.511325,,osm,way,171276936
51.747589,19.389933,,osm,way,171446103
51.730319,19.464033,"Boisko osiedlowe",osm,way,171459315
50.048328,19.217648,,osm,way,171461202
50.56976,22.127144,,osm,way,171463789
51.708791,19.553366,,osm,way,171574003
51.77253,19.412358,,osm,way,171574851
53.829425,22.364362,,osm,way,171612734
50.259146,18.973946,,osm,way,171654944
49.80497,19.036462,,osm,way,171761048
49.804908,19.036194,,osm,way,171761049
52.650296,19.048299,,osm,way,171874943
51.954851,19.718235,,osm,way,171952803
54.201685,16.180645,,osm,way,172089078
52.618723,16.575097,"Orlik (koszykówka)",osm,way,172157627
52.230212,21.060997,,osm,way,172215864
52.393446,16.933527,,osm,way,172502418
54.24696,16.174066,,osm,way,172505540
51.59021,16.31239,,osm,way,172527121
51.253737,22.482354,,osm,way,172534573
50.440217,18.85117,,osm,way,172568545
51.376006,16.952306,,osm,way,172968842
50.334854,18.883305,,osm,way,173065805
52.056196,15.10801,,osm,way,173073620
51.724401,19.452311,"Boisko szkolne",osm,way,173081928
52.295947,20.961457,,osm,way,173130608
52.292274,20.933411,,osm,way,173132054
49.788711,19.054257,,osm,way,173433296
54.367982,18.774835,,osm,way,173621604
54.368075,18.775049,,osm,way,173621605
51.79182,19.379701,,osm,way,173655048
51.794544,19.38788,"Boisko szkolne",osm,way,173690466
51.640259,22.909558,,osm,way,173693356
50.944889,17.276971,,osm,way,173695884
50.20873,23.110305,,osm,way,173836439
52.556718,19.687523,,osm,way,174020777
54.215428,18.099255,,osm,way,174287688
54.211059,16.187662,,osm,way,174364464
52.538238,19.709984,,osm,way,174433698
51.740534,19.504646,,osm,way,174480193
51.744581,19.56289,,osm,way,174490961
50.305336,19.008723,,osm,way,174522792
52.407687,17.019686,,osm,way,174584606
50.303888,18.997541,,osm,way,174598547
52.23177,21.079206,,osm,way,174757631
50.0143,18.446865,,osm,way,174955008
50.004413,18.460269,,osm,way,175134083
50.029394,19.244842,,osm,way,175274444
53.026095,20.894628,,osm,way,175344914
50.354941,18.897739,,osm,way,175498173
51.22488,22.518348,,osm,way,175575093
51.231449,22.59652,,osm,way,175845595
50.266216,19.563424,,osm,way,175936785
51.230583,22.524308,,osm,way,175990929
51.745008,19.449439,,osm,way,176000190
53.294692,16.990958,,osm,way,176029986
52.359319,16.52473,,osm,way,176072292
54.277657,18.477769,,osm,way,176136407
54.277489,18.477866,,osm,way,176136411
51.24495,22.51779,,osm,way,176161222
53.566313,20.987915,"Orlik 2012",osm,way,176240605
53.498123,15.053718,,osm,way,176302131
52.382515,16.828799,,osm,way,176302616
52.365537,16.902616,,osm,way,176472680
52.3125,20.973731,,osm,way,176648765
50.275703,18.859314,,osm,way,176699619
54.317906,18.503607,,osm,way,176818816
49.536736,19.234276,,osm,way,176846952
51.790534,19.124011,,osm,way,176925460
49.726259,19.069877,,osm,way,177086384
50.322618,19.124718,,osm,way,177214863
54.339135,18.60696,,osm,way,177328755
51.588282,18.73475,,osm,way,177365476
52.022756,21.123091,,osm,way,177402900
51.587148,18.731754,,osm,way,177475012
51.590885,18.736019,,osm,way,177476465
50.736379,16.222534,,osm,way,177517623
52.22543,20.91231,,osm,way,177576282
52.225456,20.912532,,osm,way,177576283
52.3151,20.9582,,osm,way,177648430
50.01452,20.007889,,osm,way,177700048
51.796131,19.436143,,osm,way,177908828
51.596012,18.734831,,osm,way,177914765
50.274185,18.981963,,osm,way,177951710
50.443091,16.876706,,osm,way,178082125
51.638828,15.13469,"boisko do koszykówki",osm,way,178132472
53.960657,14.777805,,osm,way,178177988
51.797016,19.372937,"Boisko szkolne",osm,way,178198952
50.274199,18.986691,,osm,way,178200020
51.746688,19.563691,,osm,way,178223601
51.783231,19.431608,"Boisko szkolne",osm,way,178226557
51.746233,19.500617,"Boisko osiedlowe",osm,way,178230658
51.591555,18.718461,,osm,way,178266742
51.810917,19.374105,,osm,way,178308845
51.790132,19.41605,,osm,way,178359596
51.749989,19.425759,,osm,way,178361884
51.601633,19.916833,,osm,way,178427543
51.733768,19.446298,,osm,way,178431663
